==================================================
 Topology          : 3D Mesh 4x4x8 - MiniMD
 Routers           : 128
 Nodes per router  : 2  (local_ports)
 Total nodes       : 256
 Total MPI ranks   : 256
 PPN (ranks/node)  : 2   <-- should be 2
 Stats CSV         : /Users/stephenrajva/Downloads/HPC-Upload 2/SST_Stimulator/MiniMD/Mesh/PPN_2/results/minimd_mesh_4x4x8_ppn2_nodes256_stats.csv
==================================================
180000:0:255:EmberEngine:AllPingPong:generate:59: rank=255 size=256
180000:0:254:EmberEngine:AllPingPong:generate:59: rank=254 size=256
180000:0:253:EmberEngine:AllPingPong:generate:59: rank=253 size=256
180000:0:252:EmberEngine:AllPingPong:generate:59: rank=252 size=256
180000:0:251:EmberEngine:AllPingPong:generate:59: rank=251 size=256
180000:0:250:EmberEngine:AllPingPong:generate:59: rank=250 size=256
180000:0:249:EmberEngine:AllPingPong:generate:59: rank=249 size=256
180000:0:248:EmberEngine:AllPingPong:generate:59: rank=248 size=256
180000:0:247:EmberEngine:AllPingPong:generate:59: rank=247 size=256
180000:0:246:EmberEngine:AllPingPong:generate:59: rank=246 size=256
180000:0:245:EmberEngine:AllPingPong:generate:59: rank=245 size=256
180000:0:244:EmberEngine:AllPingPong:generate:59: rank=244 size=256
180000:0:243:EmberEngine:AllPingPong:generate:59: rank=243 size=256
180000:0:242:EmberEngine:AllPingPong:generate:59: rank=242 size=256
180000:0:241:EmberEngine:AllPingPong:generate:59: rank=241 size=256
180000:0:240:EmberEngine:AllPingPong:generate:59: rank=240 size=256
180000:0:239:EmberEngine:AllPingPong:generate:59: rank=239 size=256
180000:0:238:EmberEngine:AllPingPong:generate:59: rank=238 size=256
180000:0:237:EmberEngine:AllPingPong:generate:59: rank=237 size=256
180000:0:236:EmberEngine:AllPingPong:generate:59: rank=236 size=256
180000:0:235:EmberEngine:AllPingPong:generate:59: rank=235 size=256
180000:0:234:EmberEngine:AllPingPong:generate:59: rank=234 size=256
180000:0:233:EmberEngine:AllPingPong:generate:59: rank=233 size=256
180000:0:232:EmberEngine:AllPingPong:generate:59: rank=232 size=256
180000:0:231:EmberEngine:AllPingPong:generate:59: rank=231 size=256
180000:0:230:EmberEngine:AllPingPong:generate:59: rank=230 size=256
180000:0:229:EmberEngine:AllPingPong:generate:59: rank=229 size=256
180000:0:228:EmberEngine:AllPingPong:generate:59: rank=228 size=256
180000:0:227:EmberEngine:AllPingPong:generate:59: rank=227 size=256
