ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u32, SumSQ.u32, Count.u64, Min.u32, Max.u32, Sum.u64, SumSQ.u64, Min.u64, Max.u64
polarfly_network.rtr5:topology, hopcount4, , Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr5, send_bit_count, port0, Accumulator, 13420108, 0, 0, 0, 6, 0, 0, 2352, 928128, 360, 424
polarfly_network.rtr5, send_packet_count, port0, Accumulator, 13420108, 0, 0, 0, 6, 0, 0, 6, 6, 1, 1
polarfly_network.rtr5, output_port_stalls, port0, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr5, idle_time, port0, Accumulator, 13420108, 0, 0, 0, 6, 0, 0, 13342108, 47717383782518, 118634, 4661494
polarfly_network.rtr5, width_adj_count, port0, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr5, send_bit_count, port1, Accumulator, 13420108, 0, 0, 0, 4, 0, 0, 1568, 618752, 360, 424
polarfly_network.rtr5, send_packet_count, port1, Accumulator, 13420108, 0, 0, 0, 4, 0, 0, 4, 4, 1, 1
polarfly_network.rtr5, output_port_stalls, port1, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr5, idle_time, port1, Accumulator, 13420108, 0, 0, 0, 5, 0, 0, 13368108, 46947518364622, 633302, 4408228
polarfly_network.rtr5, width_adj_count, port1, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr5, send_bit_count, port2, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr5, send_packet_count, port2, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr5, output_port_stalls, port2, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr5, idle_time, port2, Accumulator, 13420108, 0, 0, 0, 1, 0, 0, 13420108, 180099298731664, 13420108, 13420108
polarfly_network.rtr5, width_adj_count, port2, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr5, send_bit_count, port3, Accumulator, 13420108, 0, 0, 0, 2, 0, 0, 784, 309376, 360, 424
polarfly_network.rtr5, send_packet_count, port3, Accumulator, 13420108, 0, 0, 0, 2, 0, 0, 2, 2, 1, 1
polarfly_network.rtr5, output_port_stalls, port3, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr5, idle_time, port3, Accumulator, 13420108, 0, 0, 0, 3, 0, 0, 13394108, 80389597573146, 763936, 6465713
polarfly_network.rtr5, width_adj_count, port3, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr5, xbar_stalls, port0, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr5, xbar_stalls, port1, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr5, xbar_stalls, port2, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr5, xbar_stalls, port3, Accumulator, 13420108, 0, 0, 0, 7, 0, 0, 7, 7, 1, 1
polarfly_network.rtr5, xbar_stalls, port4, Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr6:topology, hopcount1, , Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
polarfly_network.rtr6:topology, hopcount2, , Accumulator, 13420108, 0, 2, 2, 2, 1, 1, 0, 0, 0, 0
polarfly_network.rtr6:topology, hopcount3, , Accumulator, 13420108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
