==================================================
 Topology          : 3D Torus 4x4x8 - MiniMD
 Routers           : 128
162280198411:0:162:EmberEngine:AllPingPong:generate:59: rank=162 size=256
162280198411:0:164:EmberEngine:AllPingPong:generate:59: rank=164 size=256
162280198411:0:166:EmberEngine:AllPingPong:generate:59: rank=166 size=256
162280198411:0:168:EmberEngine:AllPingPong:generate:59: rank=168 size=256
162280198411:0:170:EmberEngine:AllPingPong:generate:59: rank=170 size=256
162280198411:0:172:EmberEngine:AllPingPong:generate:59: rank=172 size=256
162280198411:0:174:EmberEngine:AllPingPong:generate:59: rank=174 size=256
162280198411:0:176:EmberEngine:AllPingPong:generate:59: rank=176 size=256
162280198411:0:178:EmberEngine:AllPingPong:generate:59: rank=178 size=256
162280198411:0:180:EmberEngine:AllPingPong:generate:59: rank=180 size=256
162280198411:0:182:EmberEngine:AllPingPong:generate:59: rank=182 size=256
162280198411:0:184:EmberEngine:AllPingPong:generate:59: rank=184 size=256
162280198411:0:186:EmberEngine:AllPingPong:generate:59: rank=186 size=256
162280198411:0:188:EmberEngine:AllPingPong:generate:59: rank=188 size=256
162280198411:0:190:EmberEngine:AllPingPong:generate:59: rank=190 size=256
162282982103:0:32:EmberEngine:AllPingPong:generate:59: rank=32 size=256
162282982103:0:34:EmberEngine:AllPingPong:generate:59: rank=34 size=256
162282982103:0:36:EmberEngine:AllPingPong:generate:59: rank=36 size=256
162282982103:0:38:EmberEngine:AllPingPong:generate:59: rank=38 size=256
162282982103:0:40:EmberEngine:AllPingPong:generate:59: rank=40 size=256
162282982103:0:42:EmberEngine:AllPingPong:generate:59: rank=42 size=256
162282982103:0:44:EmberEngine:AllPingPong:generate:59: rank=44 size=256
162282982103:0:46:EmberEngine:AllPingPong:generate:59: rank=46 size=256
162282982103:0:48:EmberEngine:AllPingPong:generate:59: rank=48 size=256
162282982103:0:50:EmberEngine:AllPingPong:generate:59: rank=50 size=256
162282982103:0:52:EmberEngine:AllPingPong:generate:59: rank=52 size=256
162282982103:0:54:EmberEngine:AllPingPong:generate:59: rank=54 size=256
162282982103:0:56:EmberEngine:AllPingPong:generate:59: rank=56 size=256
162282982103:0:58:EmberEngine:AllPingPong:generate:59: rank=58 size=256
162282982103:0:60:EmberEngine:AllPingPong:generate:59: rank=60 size=256
162282982103:0:62:EmberEngine:AllPingPong:generate:59: rank=62 size=256
162283592107:0:161:EmberEngine:AllPingPong:generate:59: rank=161 size=256
162283592107:0:163:EmberEngine:AllPingPong:generate:59: rank=163 size=256
162283592107:0:165:EmberEngine:AllPingPong:generate:59: rank=165 size=256
162283592107:0:167:EmberEngine:AllPingPong:generate:59: rank=167 size=256
162283592107:0:169:EmberEngine:AllPingPong:generate:59: rank=169 size=256
162283592107:0:171:EmberEngine:AllPingPong:generate:59: rank=171 size=256
162283592107:0:173:EmberEngine:AllPingPong:generate:59: rank=173 size=256
162283592107:0:175:EmberEngine:AllPingPong:generate:59: rank=175 size=256
162283592107:0:177:EmberEngine:AllPingPong:generate:59: rank=177 size=256
162283592107:0:179:EmberEngine:AllPingPong:generate:59: rank=179 size=256
162283592107:0:181:EmberEngine:AllPingPong:generate:59: rank=181 size=256
162283592107:0:183:EmberEngine:AllPingPong:generate:59: rank=183 size=256
162283592107:0:185:EmberEngine:AllPingPong:generate:59: rank=185 size=256
162283592107:0:187:EmberEngine:AllPingPong:generate:59: rank=187 size=256
162283592107:0:189:EmberEngine:AllPingPong:generate:59: rank=189 size=256
162283592107:0:191:EmberEngine:AllPingPong:generate:59: rank=191 size=256
162286382523:0:33:EmberEngine:AllPingPong:generate:59: rank=33 size=256
162286382523:0:35:EmberEngine:AllPingPong:generate:59: rank=35 size=256
162286382523:0:37:EmberEngine:AllPingPong:generate:59: rank=37 size=256
162286382523:0:39:EmberEngine:AllPingPong:generate:59: rank=39 size=256
162286382523:0:41:EmberEngine:AllPingPong:generate:59: rank=41 size=256
162286382523:0:43:EmberEngine:AllPingPong:generate:59: rank=43 size=256
162286382523:0:45:EmberEngine:AllPingPong:generate:59: rank=45 size=256
162286382523:0:47:EmberEngine:AllPingPong:generate:59: rank=47 size=256
162286382523:0:49:EmberEngine:AllPingPong:generate:59: rank=49 size=256
162286382523:0:51:EmberEngine:AllPingPong:generate:59: rank=51 size=256
162286382523:0:53:EmberEngine:AllPingPong:generate:59: rank=53 size=256
162286382523:0:55:EmberEngine:AllPingPong:generate:59: rank=55 size=256
162286382523:0:57:EmberEngine:AllPingPong:generate:59: rank=57 size=256
162286382523:0:59:EmberEngine:AllPingPong:generate:59: rank=59 size=256
162286382523:0:61:EmberEngine:AllPingPong:generate:59: rank=61 size=256
162286382523:0:63:EmberEngine:AllPingPong:generate:59: rank=63 size=256
162287341314:0:128:EmberEngine:AllPingPong:generate:59: rank=128 size=256
162287341314:0:130:EmberEngine:AllPingPong:generate:59: rank=130 size=256
162287341314:0:132:EmberEngine:AllPingPong:generate:59: rank=132 size=256
162287341314:0:134:EmberEngine:AllPingPong:generate:59: rank=134 size=256
162287341314:0:136:EmberEngine:AllPingPong:generate:59: rank=136 size=256
162287341314:0:138:EmberEngine:AllPingPong:generate:59: rank=138 size=256
162287341314:0:140:EmberEngine:AllPingPong:generate:59: rank=140 size=256
162287341314:0:142:EmberEngine:AllPingPong:generate:59: rank=142 size=256
162287341314:0:144:EmberEngine:AllPingPong:generate:59: rank=144 size=256
162287341314:0:146:EmberEngine:AllPingPong:generate:59: rank=146 size=256
162287341314:0:148:EmberEngine:AllPingPong:generate:59: rank=148 size=256
162287341314:0:150:EmberEngine:AllPingPong:generate:59: rank=150 size=256
162287341314:0:152:EmberEngine:AllPingPong:generate:59: rank=152 size=256
162287341314:0:154:EmberEngine:AllPingPong:generate:59: rank=154 size=256
162287341314:0:156:EmberEngine:AllPingPong:generate:59: rank=156 size=256
162287341314:0:158:EmberEngine:AllPingPong:generate:59: rank=158 size=256
AllPingPong: total time 162289.951 us, loop 325, bufLen 20510, latency 249.677 us. bandwidth 0.082146 GB/s
162290131730:0:0:EmberEngine:AllPingPong:generate:59: rank=0 size=256
162290131730:0:2:EmberEngine:AllPingPong:generate:59: rank=2 size=256
162290131730:0:4:EmberEngine:AllPingPong:generate:59: rank=4 size=256
162290131730:0:6:EmberEngine:AllPingPong:generate:59: rank=6 size=256
162290131730:0:8:EmberEngine:AllPingPong:generate:59: rank=8 size=256
162290131730:0:10:EmberEngine:AllPingPong:generate:59: rank=10 size=256
162290131730:0:12:EmberEngine:AllPingPong:generate:59: rank=12 size=256
162290131730:0:14:EmberEngine:AllPingPong:generate:59: rank=14 size=256
162290131730:0:16:EmberEngine:AllPingPong:generate:59: rank=16 size=256
162290131730:0:18:EmberEngine:AllPingPong:generate:59: rank=18 size=256
162290131730:0:20:EmberEngine:AllPingPong:generate:59: rank=20 size=256
162290131730:0:22:EmberEngine:AllPingPong:generate:59: rank=22 size=256
162290131730:0:24:EmberEngine:AllPingPong:generate:59: rank=24 size=256
162290131730:0:26:EmberEngine:AllPingPong:generate:59: rank=26 size=256
162290131730:0:28:EmberEngine:AllPingPong:generate:59: rank=28 size=256
162290131730:0:30:EmberEngine:AllPingPong:generate:59: rank=30 size=256
162292109030:0:129:EmberEngine:AllPingPong:generate:59: rank=129 size=256
162292109030:0:131:EmberEngine:AllPingPong:generate:59: rank=131 size=256
162292109030:0:133:EmberEngine:AllPingPong:generate:59: rank=133 size=256
162292109030:0:135:EmberEngine:AllPingPong:generate:59: rank=135 size=256
162292109030:0:137:EmberEngine:AllPingPong:generate:59: rank=137 size=256
162292109030:0:139:EmberEngine:AllPingPong:generate:59: rank=139 size=256
162292109030:0:141:EmberEngine:AllPingPong:generate:59: rank=141 size=256
162292109030:0:143:EmberEngine:AllPingPong:generate:59: rank=143 size=256
162292109030:0:145:EmberEngine:AllPingPong:generate:59: rank=145 size=256
162292109030:0:147:EmberEngine:AllPingPong:generate:59: rank=147 size=256
162292109030:0:149:EmberEngine:AllPingPong:generate:59: rank=149 size=256
162292109030:0:151:EmberEngine:AllPingPong:generate:59: rank=151 size=256
162292109030:0:153:EmberEngine:AllPingPong:generate:59: rank=153 size=256
162292109030:0:155:EmberEngine:AllPingPong:generate:59: rank=155 size=256
162292109030:0:157:EmberEngine:AllPingPong:generate:59: rank=157 size=256
162292109030:0:159:EmberEngine:AllPingPong:generate:59: rank=159 size=256
162294899446:0:1:EmberEngine:AllPingPong:generate:59: rank=1 size=256
162294899446:0:3:EmberEngine:AllPingPong:generate:59: rank=3 size=256
162294899446:0:5:EmberEngine:AllPingPong:generate:59: rank=5 size=256
162294899446:0:7:EmberEngine:AllPingPong:generate:59: rank=7 size=256
162294899446:0:9:EmberEngine:AllPingPong:generate:59: rank=9 size=256
162294899446:0:11:EmberEngine:AllPingPong:generate:59: rank=11 size=256
162294899446:0:13:EmberEngine:AllPingPong:generate:59: rank=13 size=256
162294899446:0:15:EmberEngine:AllPingPong:generate:59: rank=15 size=256
162294899446:0:17:EmberEngine:AllPingPong:generate:59: rank=17 size=256
162294899446:0:19:EmberEngine:AllPingPong:generate:59: rank=19 size=256
162294899446:0:21:EmberEngine:AllPingPong:generate:59: rank=21 size=256
162294899446:0:23:EmberEngine:AllPingPong:generate:59: rank=23 size=256
162294899446:0:25:EmberEngine:AllPingPong:generate:59: rank=25 size=256
162294899446:0:27:EmberEngine:AllPingPong:generate:59: rank=27 size=256
162294899446:0:29:EmberEngine:AllPingPong:generate:59: rank=29 size=256
162294899446:0:31:EmberEngine:AllPingPong:generate:59: rank=31 size=256
317720265589:0:224:EmberEngine:AllPingPong:generate:59: rank=224 size=256
317720265589:0:226:EmberEngine:AllPingPong:generate:59: rank=226 size=256
317720265589:0:228:EmberEngine:AllPingPong:generate:59: rank=228 size=256
317720265589:0:230:EmberEngine:AllPingPong:generate:59: rank=230 size=256
317720265589:0:232:EmberEngine:AllPingPong:generate:59: rank=232 size=256
317720265589:0:234:EmberEngine:AllPingPong:generate:59: rank=234 size=256
317720265589:0:236:EmberEngine:AllPingPong:generate:59: rank=236 size=256
317720265589:0:238:EmberEngine:AllPingPong:generate:59: rank=238 size=256
317720265589:0:240:EmberEngine:AllPingPong:generate:59: rank=240 size=256
317720265589:0:242:EmberEngine:AllPingPong:generate:59: rank=242 size=256
317720265589:0:244:EmberEngine:AllPingPong:generate:59: rank=244 size=256
317720265589:0:246:EmberEngine:AllPingPong:generate:59: rank=246 size=256
317720265589:0:248:EmberEngine:AllPingPong:generate:59: rank=248 size=256
317720265589:0:250:EmberEngine:AllPingPong:generate:59: rank=250 size=256
317720265589:0:252:EmberEngine:AllPingPong:generate:59: rank=252 size=256
317720265589:0:254:EmberEngine:AllPingPong:generate:59: rank=254 size=256
317721807788:0:96:EmberEngine:AllPingPong:generate:59: rank=96 size=256
317721807788:0:98:EmberEngine:AllPingPong:generate:59: rank=98 size=256
317721807788:0:100:EmberEngine:AllPingPong:generate:59: rank=100 size=256
317721807788:0:102:EmberEngine:AllPingPong:generate:59: rank=102 size=256
317721807788:0:104:EmberEngine:AllPingPong:generate:59: rank=104 size=256
317721807788:0:106:EmberEngine:AllPingPong:generate:59: rank=106 size=256
317721807788:0:108:EmberEngine:AllPingPong:generate:59: rank=108 size=256
317721807788:0:110:EmberEngine:AllPingPong:generate:59: rank=110 size=256
317721807788:0:112:EmberEngine:AllPingPong:generate:59: rank=112 size=256
317721807788:0:114:EmberEngine:AllPingPong:generate:59: rank=114 size=256
317721807788:0:116:EmberEngine:AllPingPong:generate:59: rank=116 size=256
317721807788:0:118:EmberEngine:AllPingPong:generate:59: rank=118 size=256
317721807788:0:120:EmberEngine:AllPingPong:generate:59: rank=120 size=256
317721807788:0:122:EmberEngine:AllPingPong:generate:59: rank=122 size=256
317721807788:0:124:EmberEngine:AllPingPong:generate:59: rank=124 size=256
317721807788:0:126:EmberEngine:AllPingPong:generate:59: rank=126 size=256
317727455849:0:225:EmberEngine:AllPingPong:generate:59: rank=225 size=256
317727455849:0:227:EmberEngine:AllPingPong:generate:59: rank=227 size=256
317727455849:0:229:EmberEngine:AllPingPong:generate:59: rank=229 size=256
317727455849:0:231:EmberEngine:AllPingPong:generate:59: rank=231 size=256
317727455849:0:233:EmberEngine:AllPingPong:generate:59: rank=233 size=256
317727455849:0:235:EmberEngine:AllPingPong:generate:59: rank=235 size=256
317727455849:0:237:EmberEngine:AllPingPong:generate:59: rank=237 size=256
317727455849:0:239:EmberEngine:AllPingPong:generate:59: rank=239 size=256
317727455849:0:241:EmberEngine:AllPingPong:generate:59: rank=241 size=256
317727455849:0:243:EmberEngine:AllPingPong:generate:59: rank=243 size=256
317727455849:0:245:EmberEngine:AllPingPong:generate:59: rank=245 size=256
317727455849:0:247:EmberEngine:AllPingPong:generate:59: rank=247 size=256
317727455849:0:249:EmberEngine:AllPingPong:generate:59: rank=249 size=256
317727455849:0:251:EmberEngine:AllPingPong:generate:59: rank=251 size=256
317727455849:0:253:EmberEngine:AllPingPong:generate:59: rank=253 size=256
317727455849:0:255:EmberEngine:AllPingPong:generate:59: rank=255 size=256
317728998048:0:97:EmberEngine:AllPingPong:generate:59: rank=97 size=256
317728998048:0:99:EmberEngine:AllPingPong:generate:59: rank=99 size=256
317728998048:0:101:EmberEngine:AllPingPong:generate:59: rank=101 size=256
317728998048:0:103:EmberEngine:AllPingPong:generate:59: rank=103 size=256
317728998048:0:105:EmberEngine:AllPingPong:generate:59: rank=105 size=256
317728998048:0:107:EmberEngine:AllPingPong:generate:59: rank=107 size=256
317728998048:0:109:EmberEngine:AllPingPong:generate:59: rank=109 size=256
317728998048:0:111:EmberEngine:AllPingPong:generate:59: rank=111 size=256
317728998048:0:113:EmberEngine:AllPingPong:generate:59: rank=113 size=256
317728998048:0:115:EmberEngine:AllPingPong:generate:59: rank=115 size=256
317728998048:0:117:EmberEngine:AllPingPong:generate:59: rank=117 size=256
317728998048:0:119:EmberEngine:AllPingPong:generate:59: rank=119 size=256
317728998048:0:121:EmberEngine:AllPingPong:generate:59: rank=121 size=256
317728998048:0:123:EmberEngine:AllPingPong:generate:59: rank=123 size=256
317728998048:0:125:EmberEngine:AllPingPong:generate:59: rank=125 size=256
317728998048:0:127:EmberEngine:AllPingPong:generate:59: rank=127 size=256
317753714972:0:192:EmberEngine:AllPingPong:generate:59: rank=192 size=256
317753714972:0:194:EmberEngine:AllPingPong:generate:59: rank=194 size=256
317753714972:0:196:EmberEngine:AllPingPong:generate:59: rank=196 size=256
317753714972:0:198:EmberEngine:AllPingPong:generate:59: rank=198 size=256
317753714972:0:200:EmberEngine:AllPingPong:generate:59: rank=200 size=256
317753714972:0:202:EmberEngine:AllPingPong:generate:59: rank=202 size=256
317753714972:0:204:EmberEngine:AllPingPong:generate:59: rank=204 size=256
317753714972:0:206:EmberEngine:AllPingPong:generate:59: rank=206 size=256
317753714972:0:208:EmberEngine:AllPingPong:generate:59: rank=208 size=256
317753714972:0:210:EmberEngine:AllPingPong:generate:59: rank=210 size=256
317753714972:0:212:EmberEngine:AllPingPong:generate:59: rank=212 size=256
317753714972:0:214:EmberEngine:AllPingPong:generate:59: rank=214 size=256
317753714972:0:216:EmberEngine:AllPingPong:generate:59: rank=216 size=256
317753714972:0:218:EmberEngine:AllPingPong:generate:59: rank=218 size=256
317753714972:0:220:EmberEngine:AllPingPong:generate:59: rank=220 size=256
317753714972:0:222:EmberEngine:AllPingPong:generate:59: rank=222 size=256
317755257171:0:64:EmberEngine:AllPingPong:generate:59: rank=64 size=256
317755257171:0:66:EmberEngine:AllPingPong:generate:59: rank=66 size=256
317755257171:0:68:EmberEngine:AllPingPong:generate:59: rank=68 size=256
317755257171:0:70:EmberEngine:AllPingPong:generate:59: rank=70 size=256
317755257171:0:72:EmberEngine:AllPingPong:generate:59: rank=72 size=256
317755257171:0:74:EmberEngine:AllPingPong:generate:59: rank=74 size=256
317755257171:0:76:EmberEngine:AllPingPong:generate:59: rank=76 size=256
317755257171:0:78:EmberEngine:AllPingPong:generate:59: rank=78 size=256
317755257171:0:80:EmberEngine:AllPingPong:generate:59: rank=80 size=256
317755257171:0:82:EmberEngine:AllPingPong:generate:59: rank=82 size=256
317755257171:0:84:EmberEngine:AllPingPong:generate:59: rank=84 size=256
317755257171:0:86:EmberEngine:AllPingPong:generate:59: rank=86 size=256
317755257171:0:88:EmberEngine:AllPingPong:generate:59: rank=88 size=256
317755257171:0:90:EmberEngine:AllPingPong:generate:59: rank=90 size=256
317755257171:0:92:EmberEngine:AllPingPong:generate:59: rank=92 size=256
317755257171:0:94:EmberEngine:AllPingPong:generate:59: rank=94 size=256
318102630676:0:193:EmberEngine:AllPingPong:generate:59: rank=193 size=256
318102630676:0:195:EmberEngine:AllPingPong:generate:59: rank=195 size=256
318102630676:0:197:EmberEngine:AllPingPong:generate:59: rank=197 size=256
318102630676:0:199:EmberEngine:AllPingPong:generate:59: rank=199 size=256
318102630676:0:201:EmberEngine:AllPingPong:generate:59: rank=201 size=256
318102630676:0:203:EmberEngine:AllPingPong:generate:59: rank=203 size=256
318102630676:0:205:EmberEngine:AllPingPong:generate:59: rank=205 size=256
318102630676:0:207:EmberEngine:AllPingPong:generate:59: rank=207 size=256
318102630676:0:209:EmberEngine:AllPingPong:generate:59: rank=209 size=256
318102630676:0:211:EmberEngine:AllPingPong:generate:59: rank=211 size=256
318102630676:0:213:EmberEngine:AllPingPong:generate:59: rank=213 size=256
318102630676:0:215:EmberEngine:AllPingPong:generate:59: rank=215 size=256
318102630676:0:217:EmberEngine:AllPingPong:generate:59: rank=217 size=256
318102630676:0:219:EmberEngine:AllPingPong:generate:59: rank=219 size=256
318102630676:0:221:EmberEngine:AllPingPong:generate:59: rank=221 size=256
318102630676:0:223:EmberEngine:AllPingPong:generate:59: rank=223 size=256
318104172875:0:65:EmberEngine:AllPingPong:generate:59: rank=65 size=256
318104172875:0:67:EmberEngine:AllPingPong:generate:59: rank=67 size=256
318104172875:0:69:EmberEngine:AllPingPong:generate:59: rank=69 size=256
318104172875:0:71:EmberEngine:AllPingPong:generate:59: rank=71 size=256
318104172875:0:73:EmberEngine:AllPingPong:generate:59: rank=73 size=256
318104172875:0:75:EmberEngine:AllPingPong:generate:59: rank=75 size=256
318104172875:0:77:EmberEngine:AllPingPong:generate:59: rank=77 size=256
318104172875:0:79:EmberEngine:AllPingPong:generate:59: rank=79 size=256
318104172875:0:81:EmberEngine:AllPingPong:generate:59: rank=81 size=256
318104172875:0:83:EmberEngine:AllPingPong:generate:59: rank=83 size=256
318104172875:0:85:EmberEngine:AllPingPong:generate:59: rank=85 size=256
318104172875:0:87:EmberEngine:AllPingPong:generate:59: rank=87 size=256
318104172875:0:89:EmberEngine:AllPingPong:generate:59: rank=89 size=256
318104172875:0:91:EmberEngine:AllPingPong:generate:59: rank=91 size=256
318104172875:0:93:EmberEngine:AllPingPong:generate:59: rank=93 size=256
318104172875:0:95:EmberEngine:AllPingPong:generate:59: rank=95 size=256
318107331025:0:160:EmberEngine:AllPingPong:generate:59: rank=160 size=256
318107331025:0:162:EmberEngine:AllPingPong:generate:59: rank=162 size=256
318107331025:0:164:EmberEngine:AllPingPong:generate:59: rank=164 size=256
318107331025:0:166:EmberEngine:AllPingPong:generate:59: rank=166 size=256
318107331025:0:168:EmberEngine:AllPingPong:generate:59: rank=168 size=256
318107331025:0:170:EmberEngine:AllPingPong:generate:59: rank=170 size=256
318107331025:0:172:EmberEngine:AllPingPong:generate:59: rank=172 size=256
318107331025:0:174:EmberEngine:AllPingPong:generate:59: rank=174 size=256
318107331025:0:176:EmberEngine:AllPingPong:generate:59: rank=176 size=256
318107331025:0:178:EmberEngine:AllPingPong:generate:59: rank=178 size=256
318107331025:0:180:EmberEngine:AllPingPong:generate:59: rank=180 size=256
318107331025:0:182:EmberEngine:AllPingPong:generate:59: rank=182 size=256
318107331025:0:184:EmberEngine:AllPingPong:generate:59: rank=184 size=256
318107331025:0:186:EmberEngine:AllPingPong:generate:59: rank=186 size=256
318107331025:0:188:EmberEngine:AllPingPong:generate:59: rank=188 size=256
318107331025:0:190:EmberEngine:AllPingPong:generate:59: rank=190 size=256
318108873224:0:32:EmberEngine:AllPingPong:generate:59: rank=32 size=256
318108873224:0:34:EmberEngine:AllPingPong:generate:59: rank=34 size=256
318108873224:0:36:EmberEngine:AllPingPong:generate:59: rank=36 size=256
318108873224:0:38:EmberEngine:AllPingPong:generate:59: rank=38 size=256
318108873224:0:40:EmberEngine:AllPingPong:generate:59: rank=40 size=256
318108873224:0:42:EmberEngine:AllPingPong:generate:59: rank=42 size=256
318108873224:0:44:EmberEngine:AllPingPong:generate:59: rank=44 size=256
318108873224:0:46:EmberEngine:AllPingPong:generate:59: rank=46 size=256
318108873224:0:48:EmberEngine:AllPingPong:generate:59: rank=48 size=256
318108873224:0:50:EmberEngine:AllPingPong:generate:59: rank=50 size=256
318108873224:0:52:EmberEngine:AllPingPong:generate:59: rank=52 size=256
318108873224:0:54:EmberEngine:AllPingPong:generate:59: rank=54 size=256
318108873224:0:56:EmberEngine:AllPingPong:generate:59: rank=56 size=256
318108873224:0:58:EmberEngine:AllPingPong:generate:59: rank=58 size=256
318108873224:0:60:EmberEngine:AllPingPong:generate:59: rank=60 size=256
318108873224:0:62:EmberEngine:AllPingPong:generate:59: rank=62 size=256
318110731391:0:161:EmberEngine:AllPingPong:generate:59: rank=161 size=256
318110731391:0:163:EmberEngine:AllPingPong:generate:59: rank=163 size=256
318110731391:0:165:EmberEngine:AllPingPong:generate:59: rank=165 size=256
318110731391:0:167:EmberEngine:AllPingPong:generate:59: rank=167 size=256
318110731391:0:169:EmberEngine:AllPingPong:generate:59: rank=169 size=256
318110731391:0:171:EmberEngine:AllPingPong:generate:59: rank=171 size=256
318110731391:0:173:EmberEngine:AllPingPong:generate:59: rank=173 size=256
318110731391:0:175:EmberEngine:AllPingPong:generate:59: rank=175 size=256
318110731391:0:177:EmberEngine:AllPingPong:generate:59: rank=177 size=256
318110731391:0:179:EmberEngine:AllPingPong:generate:59: rank=179 size=256
318110731391:0:181:EmberEngine:AllPingPong:generate:59: rank=181 size=256
318110731391:0:183:EmberEngine:AllPingPong:generate:59: rank=183 size=256
318110731391:0:185:EmberEngine:AllPingPong:generate:59: rank=185 size=256
318110731391:0:187:EmberEngine:AllPingPong:generate:59: rank=187 size=256
318110731391:0:189:EmberEngine:AllPingPong:generate:59: rank=189 size=256
318110731391:0:191:EmberEngine:AllPingPong:generate:59: rank=191 size=256
318112273590:0:33:EmberEngine:AllPingPong:generate:59: rank=33 size=256
318112273590:0:35:EmberEngine:AllPingPong:generate:59: rank=35 size=256
318112273590:0:37:EmberEngine:AllPingPong:generate:59: rank=37 size=256
318112273590:0:39:EmberEngine:AllPingPong:generate:59: rank=39 size=256
318112273590:0:41:EmberEngine:AllPingPong:generate:59: rank=41 size=256
318112273590:0:43:EmberEngine:AllPingPong:generate:59: rank=43 size=256
318112273590:0:45:EmberEngine:AllPingPong:generate:59: rank=45 size=256
318112273590:0:47:EmberEngine:AllPingPong:generate:59: rank=47 size=256
318112273590:0:49:EmberEngine:AllPingPong:generate:59: rank=49 size=256
318112273590:0:51:EmberEngine:AllPingPong:generate:59: rank=51 size=256
318112273590:0:53:EmberEngine:AllPingPong:generate:59: rank=53 size=256
318112273590:0:55:EmberEngine:AllPingPong:generate:59: rank=55 size=256
318112273590:0:57:EmberEngine:AllPingPong:generate:59: rank=57 size=256
318112273590:0:59:EmberEngine:AllPingPong:generate:59: rank=59 size=256
318112273590:0:61:EmberEngine:AllPingPong:generate:59: rank=61 size=256
318112273590:0:63:EmberEngine:AllPingPong:generate:59: rank=63 size=256
318114480598:0:128:EmberEngine:AllPingPong:generate:59: rank=128 size=256
318114480598:0:130:EmberEngine:AllPingPong:generate:59: rank=130 size=256
318114480598:0:132:EmberEngine:AllPingPong:generate:59: rank=132 size=256
318114480598:0:134:EmberEngine:AllPingPong:generate:59: rank=134 size=256
318114480598:0:136:EmberEngine:AllPingPong:generate:59: rank=136 size=256
318114480598:0:138:EmberEngine:AllPingPong:generate:59: rank=138 size=256
318114480598:0:140:EmberEngine:AllPingPong:generate:59: rank=140 size=256
318114480598:0:142:EmberEngine:AllPingPong:generate:59: rank=142 size=256
318114480598:0:144:EmberEngine:AllPingPong:generate:59: rank=144 size=256
318114480598:0:146:EmberEngine:AllPingPong:generate:59: rank=146 size=256
318114480598:0:148:EmberEngine:AllPingPong:generate:59: rank=148 size=256
318114480598:0:150:EmberEngine:AllPingPong:generate:59: rank=150 size=256
318114480598:0:152:EmberEngine:AllPingPong:generate:59: rank=152 size=256
318114480598:0:154:EmberEngine:AllPingPong:generate:59: rank=154 size=256
318114480598:0:156:EmberEngine:AllPingPong:generate:59: rank=156 size=256
318114480598:0:158:EmberEngine:AllPingPong:generate:59: rank=158 size=256
AllPingPong: total time 155825.891 us, loop 325, bufLen 9000, latency 239.732 us. bandwidth 0.037542 GB/s
318116022797:0:0:EmberEngine:AllPingPong:generate:59: rank=0 size=256
318116022797:0:2:EmberEngine:AllPingPong:generate:59: rank=2 size=256
318116022797:0:4:EmberEngine:AllPingPong:generate:59: rank=4 size=256
318116022797:0:6:EmberEngine:AllPingPong:generate:59: rank=6 size=256
318116022797:0:8:EmberEngine:AllPingPong:generate:59: rank=8 size=256
318116022797:0:10:EmberEngine:AllPingPong:generate:59: rank=10 size=256
318116022797:0:12:EmberEngine:AllPingPong:generate:59: rank=12 size=256
318116022797:0:14:EmberEngine:AllPingPong:generate:59: rank=14 size=256
318116022797:0:16:EmberEngine:AllPingPong:generate:59: rank=16 size=256
318116022797:0:18:EmberEngine:AllPingPong:generate:59: rank=18 size=256
318116022797:0:20:EmberEngine:AllPingPong:generate:59: rank=20 size=256
318116022797:0:22:EmberEngine:AllPingPong:generate:59: rank=22 size=256
318116022797:0:24:EmberEngine:AllPingPong:generate:59: rank=24 size=256
318116022797:0:26:EmberEngine:AllPingPong:generate:59: rank=26 size=256
318116022797:0:28:EmberEngine:AllPingPong:generate:59: rank=28 size=256
318116022797:0:30:EmberEngine:AllPingPong:generate:59: rank=30 size=256
318119248314:0:129:EmberEngine:AllPingPong:generate:59: rank=129 size=256
318119248314:0:131:EmberEngine:AllPingPong:generate:59: rank=131 size=256
318119248314:0:133:EmberEngine:AllPingPong:generate:59: rank=133 size=256
318119248314:0:135:EmberEngine:AllPingPong:generate:59: rank=135 size=256
318119248314:0:137:EmberEngine:AllPingPong:generate:59: rank=137 size=256
318119248314:0:139:EmberEngine:AllPingPong:generate:59: rank=139 size=256
318119248314:0:141:EmberEngine:AllPingPong:generate:59: rank=141 size=256
318119248314:0:143:EmberEngine:AllPingPong:generate:59: rank=143 size=256
318119248314:0:145:EmberEngine:AllPingPong:generate:59: rank=145 size=256
318119248314:0:147:EmberEngine:AllPingPong:generate:59: rank=147 size=256
318119248314:0:149:EmberEngine:AllPingPong:generate:59: rank=149 size=256
318119248314:0:151:EmberEngine:AllPingPong:generate:59: rank=151 size=256
318119248314:0:153:EmberEngine:AllPingPong:generate:59: rank=153 size=256
318119248314:0:155:EmberEngine:AllPingPong:generate:59: rank=155 size=256
318119248314:0:157:EmberEngine:AllPingPong:generate:59: rank=157 size=256
318119248314:0:159:EmberEngine:AllPingPong:generate:59: rank=159 size=256
318120790513:0:1:EmberEngine:AllPingPong:generate:59: rank=1 size=256
318120790513:0:3:EmberEngine:AllPingPong:generate:59: rank=3 size=256
318120790513:0:5:EmberEngine:AllPingPong:generate:59: rank=5 size=256
318120790513:0:7:EmberEngine:AllPingPong:generate:59: rank=7 size=256
318120790513:0:9:EmberEngine:AllPingPong:generate:59: rank=9 size=256
318120790513:0:11:EmberEngine:AllPingPong:generate:59: rank=11 size=256
318120790513:0:13:EmberEngine:AllPingPong:generate:59: rank=13 size=256
